{'quesion_id': 10, 'doc_id': 5, 'ans': 6, 'time_stamp': 1624517853.4868503}
{'quesion_id': 10, 'doc_id': 5, 'ans': 7, 'time_stamp': 1624517859.0325656}
{'quesion_id': 11, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624517897.5833707}
{'quesion_id': 11, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624517899.373157}
{'quesion_id': 11, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624517905.6888459}
{'quesion_id': 12, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624517932.751176}
{'quesion_id': 12, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624517934.9730542}
{'quesion_id': 12, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624517945.573898}
{'quesion_id': 12, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624517950.7998269}
{'quesion_id': 12, 'doc_id': 2, 'ans': 7, 'time_stamp': 1624517968.5203583}
{'quesion_id': 13, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624517984.876035}
{'quesion_id': 13, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624517986.791142}
{'quesion_id': 13, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624517994.4222858}
{'quesion_id': 14, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518005.2505224}
{'quesion_id': 14, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518007.3281076}
{'quesion_id': 14, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518020.7465036}
{'quesion_id': 14, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518026.22975}
{'quesion_id': 14, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518037.586277}
{'quesion_id': 14, 'doc_id': 4, 'ans': 6, 'time_stamp': 1624518043.8970933}
{'quesion_id': 14, 'doc_id': 4, 'ans': 7, 'time_stamp': 1624518050.1357706}
{'quesion_id': 15, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518093.5389814}
{'quesion_id': 15, 'doc_id': 15, 'ans': 10, 'time_stamp': 1624518112.5426235}
{'quesion_id': 15, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518114.3289425}
{'quesion_id': 15, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518120.6511474}
{'quesion_id': 15, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518126.7702744}
{'quesion_id': 15, 'doc_id': 2, 'ans': 7, 'time_stamp': 1624518132.2383788}
{'quesion_id': 16, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518141.555448}
{'quesion_id': 16, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518144.4192355}
{'quesion_id': 16, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624518151.2164004}
{'quesion_id': 17, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518159.861642}
{'quesion_id': 17, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518161.9289253}
{'quesion_id': 17, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518167.9983053}
{'quesion_id': 17, 'doc_id': 1, 'ans': 7, 'time_stamp': 1624518173.9538372}
{'quesion_id': 18, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518184.589275}
{'quesion_id': 18, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518187.610159}
{'quesion_id': 18, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518192.9330008}
{'quesion_id': 18, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518199.2410688}
{'quesion_id': 18, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518204.1380723}
{'quesion_id': 18, 'doc_id': 4, 'ans': 6, 'time_stamp': 1624518209.2240496}
{'quesion_id': 18, 'doc_id': 5, 'ans': 6, 'time_stamp': 1624518215.5893703}
{'quesion_id': 18, 'doc_id': 6, 'ans': 6, 'time_stamp': 1624518220.5799189}
{'quesion_id': 18, 'doc_id': 7, 'ans': 6, 'time_stamp': 1624518225.6084845}
{'quesion_id': 18, 'doc_id': 8, 'ans': 6, 'time_stamp': 1624518230.644525}
{'quesion_id': 18, 'doc_id': 9, 'ans': 6, 'time_stamp': 1624518235.6294494}
{'quesion_id': 18, 'doc_id': 9, 'ans': 5, 'time_stamp': 1624518240.8891997}
{'quesion_id': 18, 'doc_id': 9, 'ans': 8, 'time_stamp': 1624518258.0440078}
{'quesion_id': 18, 'doc_id': 10, 'ans': 6, 'time_stamp': 1624518261.5776978}
{'quesion_id': 18, 'doc_id': 11, 'ans': 6, 'time_stamp': 1624518269.6424608}
{'quesion_id': 18, 'doc_id': 12, 'ans': 6, 'time_stamp': 1624518274.6052809}
{'quesion_id': 18, 'doc_id': 13, 'ans': 6, 'time_stamp': 1624518279.665331}
{'quesion_id': 18, 'doc_id': 14, 'ans': 6, 'time_stamp': 1624518284.5332675}
{'quesion_id': 18, 'doc_id': 15, 'ans': 6, 'time_stamp': 1624518290.09512}
{'quesion_id': 18, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518295.5002542}
{'quesion_id': 18, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624518312.7967484}
{'quesion_id': 19, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518321.170559}
{'quesion_id': 19, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518324.0391514}
{'quesion_id': 19, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518329.8371093}
{'quesion_id': 19, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518335.1186543}
{'quesion_id': 19, 'doc_id': 2, 'ans': 7, 'time_stamp': 1624518341.6655664}
{'quesion_id': 20, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518400.7318478}
{'quesion_id': 20, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518404.0398395}
{'quesion_id': 20, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518409.5971453}
{'quesion_id': 20, 'doc_id': 1, 'ans': 7, 'time_stamp': 1624518420.6846366}
{'quesion_id': 21, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518432.9280772}
{'quesion_id': 21, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518435.2053163}
{'quesion_id': 21, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518440.6476648}
{'quesion_id': 21, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518445.91564}
{'quesion_id': 21, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518451.6291432}
{'quesion_id': 21, 'doc_id': 4, 'ans': 6, 'time_stamp': 1624518456.6789386}
{'quesion_id': 21, 'doc_id': 5, 'ans': 6, 'time_stamp': 1624518461.713437}
{'quesion_id': 21, 'doc_id': 6, 'ans': 6, 'time_stamp': 1624518467.1043937}
{'quesion_id': 21, 'doc_id': 7, 'ans': 6, 'time_stamp': 1624518471.9977489}
{'quesion_id': 21, 'doc_id': 8, 'ans': 6, 'time_stamp': 1624518477.5837147}
{'quesion_id': 21, 'doc_id': 9, 'ans': 6, 'time_stamp': 1624518482.4951203}
{'quesion_id': 21, 'doc_id': 9, 'ans': 7, 'time_stamp': 1624518488.9023051}
{'quesion_id': 22, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518508.4627624}
{'quesion_id': 22, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518520.929426}
{'quesion_id': 22, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518527.468175}
{'quesion_id': 22, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518533.6135442}
{'quesion_id': 22, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518539.3753867}
{'quesion_id': 22, 'doc_id': 3, 'ans': 7, 'time_stamp': 1624518544.893586}
{'quesion_id': 23, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518558.785887}
{'quesion_id': 23, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518561.1242697}
{'quesion_id': 23, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518566.2926338}
{'quesion_id': 23, 'doc_id': 1, 'ans': 7, 'time_stamp': 1624518572.9645722}
{'quesion_id': 24, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518581.806436}
{'quesion_id': 24, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518587.9659128}
{'quesion_id': 24, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518593.956847}
{'quesion_id': 24, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518600.6571593}
{'quesion_id': 24, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518608.0112128}
{'quesion_id': 24, 'doc_id': 4, 'ans': 6, 'time_stamp': 1624518612.881463}
{'quesion_id': 24, 'doc_id': 5, 'ans': 6, 'time_stamp': 1624518621.0200481}
{'quesion_id': 24, 'doc_id': 6, 'ans': 6, 'time_stamp': 1624518626.2479455}
{'quesion_id': 24, 'doc_id': 6, 'ans': 7, 'time_stamp': 1624518638.243212}
{'quesion_id': 25, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518653.5463405}
{'quesion_id': 25, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518655.3924398}
{'quesion_id': 25, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624518674.0718093}
{'quesion_id': 26, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518685.9669502}
{'quesion_id': 26, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518688.1994336}
{'quesion_id': 26, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518693.569964}
{'quesion_id': 26, 'doc_id': 1, 'ans': 7, 'time_stamp': 1624518699.893931}
{'quesion_id': 27, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518712.428103}
{'quesion_id': 27, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518714.4771504}
{'quesion_id': 27, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624518720.5910094}
{'quesion_id': 28, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518745.0864408}
{'quesion_id': 28, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518747.022171}
{'quesion_id': 28, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518756.1423147}
{'quesion_id': 28, 'doc_id': 1, 'ans': 7, 'time_stamp': 1624518765.3530526}
{'quesion_id': 29, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518785.694613}
{'quesion_id': 29, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518788.4729655}
{'quesion_id': 29, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518798.2890718}
{'quesion_id': 29, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518804.4090786}
{'quesion_id': 29, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518809.2980323}
{'quesion_id': 29, 'doc_id': 3, 'ans': 7, 'time_stamp': 1624518814.3759563}
{'quesion_id': 30, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518839.884842}
{'quesion_id': 30, 'doc_id': 15, 'ans': 10, 'time_stamp': 1624518874.0641751}
{'quesion_id': 30, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518877.4194772}
{'quesion_id': 30, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518883.8719914}
{'quesion_id': 30, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518889.3887556}
{'quesion_id': 30, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518903.0831256}
{'quesion_id': 30, 'doc_id': 4, 'ans': 6, 'time_stamp': 1624518908.2747896}
{'quesion_id': 30, 'doc_id': 4, 'ans': 7, 'time_stamp': 1624518915.8765545}
{'quesion_id': 31, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518940.7893453}
{'quesion_id': 31, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518944.0232937}
{'quesion_id': 31, 'doc_id': 1, 'ans': 6, 'time_stamp': 1624518949.831105}
{'quesion_id': 31, 'doc_id': 2, 'ans': 6, 'time_stamp': 1624518954.893857}
{'quesion_id': 31, 'doc_id': 3, 'ans': 6, 'time_stamp': 1624518971.1716762}
{'quesion_id': 31, 'doc_id': 3, 'ans': 7, 'time_stamp': 1624518976.3739452}
{'quesion_id': 32, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624518995.485114}
{'quesion_id': 32, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624518997.7224677}
{'quesion_id': 32, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624519005.060337}
{'quesion_id': 33, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624519015.0036173}
{'quesion_id': 33, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624519018.0526807}
{'quesion_id': 33, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624519026.2664485}
{'quesion_id': 34, 'doc_id': 15, 'ans': 9, 'time_stamp': 1624519036.0746274}
{'quesion_id': 34, 'doc_id': 0, 'ans': 6, 'time_stamp': 1624519038.8479843}
{'quesion_id': 34, 'doc_id': 0, 'ans': 7, 'time_stamp': 1624519049.5136116}
